title,link
“Reading Rainbow” was created to combat summer reading slumps,https://www.smithsonianmag.com/smithsonian-institution/to-combat-summer-reading-slumps-this-timeless-childrens-television-show-tried-to-bridge-the-literacy-gap-with-the-magic-of-stories-180986984/
Ex-Waymo engineers launch Bedrock Robotics to automate construction,https://techcrunch.com/2025/07/16/ex-waymo-engineers-launch-bedrock-robotics-with-80m-to-automate-construction/
I want an iPhone Mini-sized Android phone (2022),https://smallandroidphone.com/
Gaslight-driven development,https://tonsky.me/blog/gaslight-driven-development/
I was wrong about robots.txt,https://evgeniipendragon.com/posts/i-was-wrong-about-robots-txt/
Mistakes Microsoft made in the Xbox security system,https://xboxdevwiki.net/17_Mistakes_Microsoft_Made_in_the_Xbox_Security_System
Altermagnets: The first new type of magnet in nearly a century,https://www.newscientist.com/article/2487013-weve-discovered-a-new-kind-of-magnetism-what-can-we-do-with-it/
Show HN: A 'Choose Your Own Adventure' written in Emacs Org Mode,https://tendollaradventure.com/sample/
The 1960s schools experiment that created a whole new alphabet,https://www.theguardian.com/education/2025/jul/06/1960s-schools-experiment-created-new-alphabet-thousands-children-unable-to-spell
"AI therapy bots fuel delusions and give dangerous advice, Stanford study finds",https://arstechnica.com/ai/2025/07/ai-therapy-bots-fuel-delusions-and-give-dangerous-advice-stanford-study-finds/
Remembrance of Scents Past,https://www.newyorker.com/culture/onward-and-upward-with-the-arts/remembrance-of-scents-past
Intel's retreat is unlike anything it's done before in Oregon,https://www.oregonlive.com/silicon-forest/2025/07/intels-retreat-is-unlike-anything-its-done-before-in-oregon.html
Signs of autism could be encoded in the way you walk,https://www.sciencealert.com/signs-of-autism-could-be-encoded-in-the-way-you-walk
Pgactive: Postgres active-active replication extension,https://github.com/aws/pgactive
Show HN: Improving search ranking with chess Elo scores,https://www.zeroentropy.dev/blog/improving-rag-with-elo-scores
Blue Pencil no. 18–Some history about Arial,https://www.paulshawletterdesign.com/2011/09/blue-pencil-no-18%e2%80%94some-history-about-arial/
How and where will agents ship software?,https://www.instantdb.com/essays/agents
The battle for Britain’s first book of the month club,https://www.historytoday.com/archive/history-matters/battle-britains-first-book-month-club
Artisanal handcrafted Git repositories,https://drew.silcock.dev/blog/artisanal-git/
Inside the box: Everything I did with an Arduino starter kit,https://lopespm.com/hardware/2025/07/15/arduino.html
I'm switching to Python and actually liking it,https://www.cesarsotovalero.net/blog/i-am-switching-to-python-and-actually-liking-it.html
Shipping WebGPU on Windows in Firefox 141,https://mozillagfx.wordpress.com/2025/07/15/shipping-webgpu-on-windows-in-firefox-141/
Roman dodecahedron: 12-sided object has baffled archaeologists for centuries,https://www.livescience.com/archaeology/romans/roman-dodecahedron-a-mysterious-12-sided-object-that-has-baffled-archaeologists-for-centuries
Scanned piano rolls database,http://www.pianorollmusic.org/rolldatabase.php
Chain of thought monitorability: A new and fragile opportunity for AI safety,https://arxiv.org/abs/2507.11473
Show HN: 0xDEAD//TYPE – A fast-paced typing shooter with retro vibes,https://0xdeadtype.theden.sh/
Weave (YC W25) is hiring an AI engineer,https://www.ycombinator.com/companies/weave-3/jobs/SqFnIFE-founding-ai-engineer
A Rust shaped hole,https://mnvr.in/rust
Show HN: Cobble – A hard daily word game,https://wilf.live/cobble/
A recap on May/June stability at Neon,https://neon.com/blog/an-apology-and-a-recap-on-may-june-stability
